Years,GDP (¥Billion),GDP Per Capita (¥),Undergrads & Grads,High School Students,Junior School Students,Primary School Students,Special Students,Graduate & Undergraduate Schools,High Schools,Junior Schools,Primary Schools,Special Schools,Graduate & Undergraduate Teachers,High School Teachers,Junior School Teachers,Primary School Teachers,Special School Teachers
2021,1143669.7,80976,38293680,26050291,528710000,107799349,919767,2756,14585,52871,154279,2288,1865450,2028341,3971121,6600799,69353
2020,1013567,71828,35992546,24944529,528050000,107253532,880800,2738,14235,52805,157979,2244,1832982,1933228,3860741,6434178,66169
2019,986515.2,70078,33178974,24143050,524150000,105612358,794612,2688,13964,52415,160148,2192,1740145,1859242,3747429,6269084,62358
2018,919281.1,65534,31041257,23754000,519820000,103393000,666000,2663,13737,51982,161811,2152,1673000,1813000,3639000,6092000,59000
2017,832035.9,59592,30175561,23745000,518940000,100937000,579000,2631,13555,51894,167009,2107,1633000,1774000,3549000,5945000,56000
2016,746395.1,53783,28939051,23666000,521180000,99130000,492000,2596,13383,52118,177633,2080,1602000,1733000,3488000,5789000,53000
2015,688858.2,49922,28164406,23744000,524050000,96922000,442000,2560,13240,52405,190525,2053,1573000,1695000,3476000,5685000,50000
2014,643563.1,46912,27324689,24005000,526230000,94511000,395000,2529,13253,52623,201377,2000,1535000,1663000,3488000,5634000,48000
2013,592963.2,43497,26474953,24359000,528040000,93605000,368000,2491,13352,52804,213529,1933,1497000,1629000,3481000,5585000,46000
2012,538580,39771,25632818,24672000,532160000,96959000,379000,2442,13509,53216,228585,1853,1440000,1595000,3504000,5585476,44000
2011,487940.2,36277,24730845,24548000,541170000,99264000,399000,2409,13688,54117,241249,1767,1393000,1557000,3524517,5605000,41000
2010,412119.3,30808,23856416,24273000,548900000,99407000,426000,2358,14058,54890,257410,1706,1343000,1518000,3525000,5617000,40000
2009,348517.7,26180,22851942,24343000,563200000,100715000,428000,2305,14607,56320,280184,1672,1295000,1493000,3518000,5633000,38000
2008,319244.6,24100,21493046,24763000,579140000,103315000,417000,2263,15206,57914,300854,1640,1237451,1476000,3476000,5622000,36000
2007,270092.3,20494,20044047,25224000,593840000,105640000,419000,1908,15681,59384,320061,1618,1168000,1443000,3473000,5613000,35000
2006,219438.5,16738,18492653,25145000,608850000,107115000,363000,1867,16153,60885,341639,1605,1076000,1387000,3475000,5588000,33000
2005,187318.9,14368,16596610,24091000,624860000,108641000,364000,1792,16092,62486,366213,1593,966000,1299460,3492000,5592453,32000
2004,161840.2,12487,14154896,22204000,637570000,112462000,372000,1731,15998,63757,394183,1560,858000,1191000,3500464,5629000,31000
2003,137422,10666,11737260,19648000,647300000,116897000,365000,1552,15779,64730,425846,1551,725000,1071000,3498000,5703000,30000
2002,121717.4,9506,9534980,16838000,656450000,121567000,375000,1396,15406,65645,456903,1540,618000,946000,3468000,5779000,30000
